hue\lightness,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,99
105,0.00 ,6.66 ,13.32 ,19.98 ,26.64 ,33.30 ,39.96 ,46.62 ,53.27 ,59.93 ,66.59 ,73.24 ,79.87 ,86.42 ,92.82 ,97.82 ,100.51 ,103.00 ,104.68 ,58.74 ,0.00 
110,0.00 ,6.71 ,13.42 ,20.13 ,26.84 ,33.55 ,40.26 ,46.96 ,53.67 ,60.38 ,67.08 ,73.68 ,80.15 ,86.50 ,92.71 ,96.08 ,95.77 ,94.83 ,92.53 ,48.20 ,0.00 
115,0.00 ,6.83 ,13.67 ,20.50 ,27.33 ,34.16 ,41.00 ,47.83 ,54.66 ,61.49 ,68.25 ,74.59 ,80.74 ,86.82 ,92.76 ,93.92 ,90.24 ,85.51 ,78.65 ,38.05 ,0.00 
120,0.00 ,7.04 ,14.09 ,21.13 ,28.17 ,35.22 ,42.26 ,49.30 ,56.34 ,63.38 ,70.03 ,75.88 ,81.58 ,87.25 ,92.63 ,91.19 ,84.29 ,75.90 ,64.58 ,29.56 ,0.00 
125,0.00 ,7.34 ,14.68 ,22.02 ,29.37 ,36.71 ,44.05 ,51.39 ,58.73 ,66.06 ,72.28 ,77.48 ,82.54 ,87.58 ,91.96 ,87.77 ,78.29 ,66.83 ,51.79 ,23.09 ,0.00 
130,0.00 ,7.72 ,15.43 ,23.15 ,30.86 ,38.58 ,46.29 ,54.00 ,61.72 ,69.31 ,74.90 ,79.37 ,83.49 ,87.61 ,90.31 ,83.73 ,72.33 ,58.75 ,41.59 ,18.48 ,0.00 
135,0.00 ,8.15 ,16.31 ,24.46 ,32.61 ,40.77 ,48.92 ,57.07 ,65.18 ,72.72 ,77.75 ,81.51 ,84.40 ,87.28 ,87.67 ,79.32 ,66.60 ,51.82 ,34.56 ,15.36 ,0.00 
140,0.00 ,8.67 ,17.33 ,25.99 ,34.63 ,43.23 ,51.81 ,60.39 ,68.86 ,75.86 ,80.58 ,83.75 ,85.31 ,86.70 ,84.49 ,74.94 ,61.32 ,46.20 ,29.94 ,13.31 ,0.00 
145,0.00 ,9.25 ,18.49 ,27.72 ,36.90 ,45.84 ,54.73 ,63.60 ,72.35 ,78.69 ,83.12 ,85.82 ,86.17 ,85.84 ,81.19 ,70.77 ,56.77 ,42.01 ,27.01 ,12.01 ,0.00 
150,0.00 ,9.88 ,19.76 ,29.64 ,39.39 ,48.45 ,57.39 ,66.33 ,75.18 ,80.91 ,85.05 ,87.47 ,86.82 ,84.71 ,77.97 ,66.98 ,53.13 ,39.15 ,25.17 ,11.19 ,0.00 
155,0.00 ,10.54 ,21.08 ,31.62 ,42.08 ,50.90 ,59.50 ,68.11 ,76.70 ,82.02 ,85.94 ,88.31 ,87.06 ,83.37 ,74.98 ,63.78 ,50.49 ,37.21 ,23.92 ,10.63 ,0.00 
160,0.00 ,11.16 ,22.32 ,33.47 ,44.60 ,53.00 ,60.83 ,68.65 ,76.47 ,81.64 ,85.60 ,88.08 ,86.74 ,81.92 ,72.43 ,61.29 ,48.58 ,35.81 ,23.02 ,10.23 ,0.00 
165,0.00 ,11.65 ,23.29 ,34.94 ,46.57 ,54.55 ,61.32 ,68.09 ,74.85 ,80.01 ,84.17 ,86.86 ,85.80 ,80.30 ,70.31 ,59.38 ,47.10 ,34.72 ,22.32 ,9.92 ,0.00 
170,0.00 ,11.89 ,23.78 ,35.67 ,47.55 ,55.25 ,61.01 ,66.77 ,72.53 ,77.67 ,81.90 ,84.80 ,84.22 ,78.33 ,68.35 ,57.75 ,45.80 ,33.75 ,21.70 ,9.64 ,0.00 
175,0.00 ,11.78 ,23.55 ,35.31 ,47.06 ,54.72 ,59.81 ,64.89 ,69.97 ,74.91 ,79.12 ,82.10 ,81.99 ,75.88 ,66.26 ,56.10 ,44.44 ,32.75 ,21.05 ,9.36 ,0.00 
180,0.00 ,11.36 ,22.66 ,33.96 ,45.26 ,53.14 ,57.93 ,62.60 ,67.28 ,71.94 ,76.08 ,78.98 ,79.16 ,72.95 ,63.81 ,54.11 ,42.85 ,31.58 ,20.30 ,9.02 ,0.00 
185,0.00 ,10.76 ,21.47 ,32.19 ,42.89 ,50.96 ,55.66 ,60.09 ,64.52 ,68.95 ,72.97 ,75.71 ,75.98 ,69.80 ,61.08 ,51.69 ,41.01 ,30.22 ,19.43 ,8.64 ,0.00 
190,0.00 ,10.13 ,20.25 ,30.36 ,40.47 ,48.63 ,53.22 ,57.50 ,61.78 ,66.06 ,69.98 ,72.56 ,72.71 ,66.74 ,58.33 ,49.12 ,39.04 ,28.77 ,18.49 ,8.22 ,0.00 
195,0.00 ,9.58 ,19.16 ,28.74 ,38.31 ,46.33 ,50.74 ,54.96 ,59.17 ,63.38 ,67.25 ,69.75 ,69.62 ,64.02 ,55.78 ,46.66 ,37.11 ,27.34 ,17.58 ,7.81 ,0.00 
200,0.00 ,9.21 ,18.32 ,27.43 ,36.52 ,43.98 ,48.27 ,52.53 ,56.79 ,61.05 ,64.92 ,67.39 ,66.95 ,61.70 ,53.52 ,44.52 ,35.36 ,26.06 ,16.75 ,7.45 ,0.00 
205,0.00 ,9.11 ,17.77 ,26.42 ,35.04 ,41.63 ,46.01 ,50.38 ,54.76 ,59.13 ,63.08 ,65.57 ,64.86 ,59.73 ,51.54 ,42.74 ,33.89 ,24.98 ,16.06 ,7.14 ,0.00 
210,0.00 ,9.23 ,17.53 ,25.66 ,33.79 ,39.64 ,44.16 ,48.67 ,53.17 ,57.68 ,61.74 ,64.17 ,63.19 ,58.01 ,49.81 ,41.25 ,32.67 ,24.08 ,15.48 ,6.88 ,0.00 
215,0.00 ,9.47 ,17.60 ,25.25 ,32.78 ,38.16 ,42.81 ,47.45 ,52.09 ,56.72 ,60.85 ,63.06 ,61.77 ,56.42 ,48.28 ,39.96 ,31.64 ,23.32 ,14.99 ,6.66 ,0.00 
220,0.00 ,9.73 ,17.92 ,25.20 ,32.12 ,37.22 ,41.98 ,46.72 ,51.47 ,56.21 ,60.36 ,62.12 ,60.43 ,54.84 ,46.86 ,38.78 ,30.71 ,22.63 ,14.55 ,6.47 ,0.00 
225,0.00 ,9.95 ,18.32 ,25.46 ,31.80 ,36.78 ,41.61 ,46.44 ,51.27 ,56.09 ,60.16 ,61.24 ,59.02 ,53.17 ,45.45 ,37.63 ,29.79 ,21.95 ,14.11 ,6.27 ,0.00 
230,0.00 ,10.07 ,18.64 ,25.99 ,31.85 ,36.78 ,41.67 ,46.57 ,51.46 ,56.34 ,60.09 ,60.30 ,57.40 ,51.42 ,43.98 ,36.40 ,28.82 ,21.24 ,13.65 ,6.07 ,0.00 
235,0.00 ,10.05 ,18.79 ,26.70 ,32.23 ,37.17 ,42.12 ,47.06 ,52.00 ,56.91 ,60.00 ,59.21 ,55.62 ,49.57 ,42.41 ,35.10 ,27.79 ,20.48 ,13.16 ,5.85 ,0.00 
240,0.00 ,9.91 ,18.90 ,27.42 ,32.87 ,37.91 ,42.92 ,47.90 ,52.88 ,57.68 ,59.74 ,57.92 ,53.77 ,47.67 ,40.80 ,33.77 ,26.74 ,19.71 ,12.67 ,5.63 ,0.00 
245,0.00 ,9.76 ,19.07 ,28.10 ,33.75 ,38.97 ,44.07 ,49.09 ,54.11 ,58.51 ,59.23 ,56.47 ,51.94 ,45.85 ,39.26 ,32.50 ,25.73 ,18.96 ,12.19 ,5.42 ,0.00 
250,0.00 ,9.74 ,19.34 ,28.84 ,34.89 ,40.42 ,45.65 ,50.67 ,55.67 ,59.32 ,58.52 ,54.99 ,50.23 ,44.18 ,37.85 ,31.33 ,24.80 ,18.28 ,11.75 ,5.22 ,0.00 
255,0.00 ,9.96 ,19.91 ,29.86 ,36.39 ,42.32 ,47.74 ,52.69 ,57.52 ,60.03 ,57.76 ,53.64 ,48.72 ,42.73 ,36.63 ,30.32 ,24.00 ,17.69 ,11.37 ,5.05 ,0.00 
